date,startup,vertical,subvertical,city,investors,round,amount (Cr)
2020-01-09,Byjus,E-Tech,E-learning,Bengaluru,tiger global management,Private Equity Round,1650.0
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,susquehanna growth equity,Series C,66.3992505
2020-01-09,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,sequoia capital india,Series B,151.460595
2020-01-02,Https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,vinod khatumal,Pre-series A,24.75
2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,sprout venture partners,Seed Round,14.85
2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,chiratae ventures,Series A,74.25
2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,ant financial,Private Equity Round,1237.5
2019-12-12,Ecozen,Technology,Agritech,Pune,sathguru catalyzer advisors,Series A,49.5
2019-12-06,Cardekho,E-Commerce,Automobile,Gurgaon,ping an global voyager fund,Series D,577.5
2019-12-03,Dhruva space,Aerospace,Satellite Communication,Bengaluru,"mumbai angels,ravikanth reddy",Seed,412.5
2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"saif partners,spring canter investment ltd.",Series F,165.0
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"paytm,nptk,sabre partners,neoplux",Series C,99.0
2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,vertex growth fund,Series E,247.5
2019-12-16,Incred,Finance,Non-Banking Financial Company,Mumbai,unknown,Debt Funding,48.675
2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,ruizheng investment,Seed Round,16.5
2019-12-11,Rein games,Gaming,Real money based gaming startup,Noida,manipal education and medical group (memg),Seed Round,412.5
2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,softbank vision fund,Series G,1905.75
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"sequoia,capitalg,accel",Series H,1237.5
2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"sauce.vc,rainforest ventures",Series B,4.0095
2019-11-13,Sunstone eduversity pvt. ltd,Education,Elearning,Gurgaon,"prime venture partners,letsventure,ps1 venture,globallogic co-founder rajul garg",Seed,12.375
2019-11-17,Burger singh,Food and Beverage,Indian Burger Brand,Gurgaon,rb investments,Venture,0.0
2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,"dg daiwa ventures,dg incubation",Series B,99.0
2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,trifecta capital advisors,Debt Funding,214.5
2019-11-20,Ayefinance,FinTech,Financial Services To MSMEs,Gurgaon,fintech,Debt Funding,143.64293625
2019-11-12,Supergaming,Video Games,Social gaming platform,Pune,dream incubator,Seed Funding,10.725
2019-11-20,Clumio,SaaS,Recovery software,"San Jose,","altimeter capital,sutter hill ventures",Series C,1113.75
2019-11-11,Ebikego,Last Mile Transportation,Electric bike rental,Amritsar,startup buddy,Seed,2.475
2019-11-19,Digital mall asia,E-Commerce,Virtual e-commerce platform,Delhi,amour infrastructure,Seed Funding,1815.0
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"healthquad,rebright partners,toppan printing,ackermans,van haaren",Series B,130.35
2019-11-15,Vogo automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"matrix partners,stellaris venture partners,kalaari capital",Series B,2334.75
2019-11-19,Furtados school of music,Education,Music Education,Tulangan,ian fund and dsg consumer partners,,1650.0
2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,vijay shekhar sharma,Funding Round,8250.0
2019-10-04,Dunzo,Customer Service,Delivery Service,Bengaluru,lightbox,Series D,371.25
2019-10-02,Udaan,B2B,Business development,Bengaluru,"altimeter capital,dst global",Series D,4826.25
2019-10-21,The man company,Consumer Goods,Beauty and Grooming,Gurgaon,ayushmann khurana,Corporate Round,0.0
2019-09-05,Fpl technologies,FinTech,Financial Services,Pune,"matrix partners,sequoia",Maiden Round,37.125
2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,saif partners,Series A,27.225
2019-09-04,Digital f5,"Advertising, Marketing",Digital marketing firm,Mumbai,tiw private equity,Private Equity Round,49.5
2019-09-04,3rdflix,SaaS,Education Technology,Hyderabad,exfinity venture partners,pre-series A,41.25
2019-09-04,75f,IoT,Building automation system,Burnsville,breakthrough energy ventures,Series A,148.5
2019-09-04,Myelin foundry,Information Technology,Deep-technology,Bengaluru,endiya partners,Seed,8.25
2019-09-04,Atomberg technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,a91 partners,Series A,82.5
2019-09-04,Goqii,Health and Wellness,Wearable Fitness Bands,Menlo Park,bennett coleman and company ltd (bccl),Series C,3712.5
2019-09-03,Vyapar app,Accounting,Mobile-based Accounting Software,Bengaluru,"india,axilor",Series A,41.25
2019-08-01,Cardekho,E-Commerce,Automotive,Gurgaon,sc gg india mobility holdings llc,Series C,165.0
2019-08-01,Progcap,Finance,Supply Chain Management,New Delhi,sequoia india,Series A,41.25
